Year,Month,Manufacturer,Model,Sales,Region
2018,October,Mazda,SUV,3316,Kansai
2024,July,Subaru,Sedan,4749,Tohoku
2020,August,Nissan,Convertible,2496,Kansai
2023,August,Subaru,Sedan,1948,Chugoku
2015,May,Subaru,Hatchback,2066,Shikoku
2013,October,Nissan,SUV,3396,Chugoku
2024,August,Toyota,Truck,3328,Hokkaido
2021,February,Mazda,Hatchback,4899,Chugoku
2012,July,Nissan,Truck,2611,Chugoku
2021,September,Mazda,Truck,1212,Shikoku
2012,July,Mazda,Sedan,3780,Tohoku
2020,June,Nissan,Sedan,3807,Tohoku
2013,April,Subaru,Hatchback,4958,Kyushu
2021,October,Subaru,Truck,4875,Chubu
2011,September,Mazda,Truck,1956,Chugoku
2019,January,Nissan,Truck,3963,Kyushu
2012,October,Nissan,Convertible,3585,Chugoku
2021,September,Nissan,Convertible,2138,Tohoku
2017,March,Toyota,Sedan,2236,Hokkaido
2020,April,Subaru,Convertible,4632,Kanto
2022,November,Honda,Convertible,4010,Chugoku
2018,August,Honda,Hatchback,3856,Shikoku
2010,November,Honda,Sedan,3052,Chubu
2018,October,Honda,Truck,4509,Chugoku
2023,July,Nissan,SUV,4463,Chugoku
2015,October,Mazda,Truck,4194,Chugoku
2013,March,Nissan,SUV,2508,Shikoku
2012,June,Toyota,SUV,1945,Shikoku
2016,December,Toyota,Sedan,4000,Kansai
2012,March,Nissan,SUV,2248,Kanto
2014,December,Honda,Truck,3431,Kyushu
2016,May,Honda,Hatchback,1952,Chubu
2023,October,Toyota,Hatchback,2593,Kansai
2011,August,Toyota,Convertible,4297,Shikoku
2010,May,Honda,Sedan,3018,Hokkaido
2023,September,Honda,Convertible,4251,Kansai
2022,March,Honda,Truck,2395,Tohoku
2014,March,Nissan,SUV,2101,Kyushu
2013,November,Nissan,Sedan,4298,Kanto
2016,April,Nissan,Truck,2983,Shikoku
2021,April,Mazda,Convertible,4956,Kanto
2015,February,Subaru,SUV,3368,Hokkaido
2013,January,Mazda,Sedan,2204,Chugoku
2014,June,Toyota,Convertible,4756,Tohoku
2017,September,Toyota,SUV,3057,Chugoku
2021,April,Subaru,SUV,3329,Kansai
2012,April,Toyota,Truck,4457,Tohoku
2017,November,Nissan,Sedan,2650,Chubu
2019,December,Mazda,Truck,4264,Hokkaido
2020,February,Subaru,Hatchback,1940,Chubu
2022,June,Mazda,Convertible,1765,Chugoku
2016,September,Toyota,Convertible,4507,Tohoku
2014,November,Toyota,Hatchback,2783,Chubu
2011,January,Mazda,SUV,2647,Shikoku
2019,April,Toyota,Convertible,1677,Chubu
2014,March,Mazda,Convertible,1203,Shikoku
2013,December,Toyota,Convertible,1851,Shikoku
2018,April,Honda,Sedan,3475,Chubu
2010,February,Toyota,SUV,1287,Shikoku
2023,December,Toyota,Hatchback,3340,Kanto
2024,June,Mazda,Sedan,3249,Kyushu
2018,February,Toyota,Truck,3111,Shikoku
2013,January,Toyota,Truck,2331,Shikoku
2023,December,Mazda,Hatchback,4680,Chubu
2021,November,Toyota,Sedan,3977,Shikoku
2015,November,Honda,Sedan,1915,Kanto
2010,February,Mazda,Convertible,2095,Shikoku
2010,September,Nissan,Sedan,1539,Chubu
2018,June,Honda,Convertible,3494,Kyushu
2019,September,Toyota,Truck,2950,Hokkaido
2013,September,Subaru,Sedan,3582,Kanto
2011,February,Toyota,Truck,2905,Shikoku
2011,January,Nissan,Sedan,3240,Tohoku
2017,August,Honda,Convertible,1563,Chubu
2010,May,Honda,SUV,2575,Hokkaido
2019,April,Mazda,Hatchback,1994,Kansai
2012,September,Nissan,Convertible,4973,Chugoku
2016,April,Nissan,Convertible,4857,Chubu
2022,November,Toyota,Hatchback,3095,Kanto
2013,November,Subaru,SUV,3050,Hokkaido
2023,January,Nissan,SUV,2786,Kanto
2013,September,Honda,Convertible,1432,Chugoku
2021,October,Subaru,Truck,2709,Chugoku
2017,December,Toyota,Sedan,2142,Hokkaido
2024,June,Subaru,Truck,3262,Hokkaido
2019,August,Mazda,Sedan,4017,Chubu
2012,February,Mazda,Convertible,4786,Chubu
2024,September,Subaru,SUV,4669,Kansai
2020,May,Mazda,SUV,4984,Chubu
2014,February,Subaru,Truck,2428,Kyushu
2016,May,Mazda,Hatchback,1864,Shikoku
2022,October,Honda,SUV,4102,Shikoku
2014,March,Mazda,Truck,1824,Kansai
2015,June,Toyota,Convertible,2099,Shikoku
2012,April,Mazda,Convertible,4506,Tohoku
2020,August,Mazda,Sedan,4268,Hokkaido
